PanjivaRecordID,HSCode,ShipmentDestination,ShipperPanjivaID,TransportMethod
4433770,20,8,29,2
4356458,33,22,87,0
4381226,45,22,64,0
4393962,1,29,42,0
4399658,25,27,9,0
4468650,33,22,10,0
4370218,46,22,33,0
4373994,46,22,67,0
4403434,27,24,37,1
4409578,25,22,76,0
4437802,17,22,51,1
4457834,25,1,69,2
4458346,54,24,37,1
4392298,22,4,20,2
4404586,46,15,46,2
4420138,50,5,3,2
4425386,32,26,89,2
4453610,24,15,40,2
4453930,28,24,8,2
4420778,49,24,83,2
4421573,23,6,23,0
4432901,2,24,43,2
4454661,25,29,41,0
4356229,51,24,88,2
4356357,10,10,68,2
4356421,19,8,16,2
4361797,50,9,61,2
4381125,19,8,29,2
4399493,19,10,66,2
4393029,50,6,23,0
4399557,19,8,16,2
4406789,20,8,36,2
4416325,19,8,29,2
4421829,8,24,88,2
4398917,32,26,41,0
4433669,20,8,36,2
4433797,20,8,29,2
4367941,23,22,32,0
4369029,45,22,64,0
4434117,50,22,64,0
4462149,51,22,64,0
4462277,45,22,64,0
4357253,23,24,59,2
4372101,28,4,81,1
4374149,46,26,67,0
4424901,14,22,76,0
4444741,23,24,59,2
4360837,53,12,35,2
4420741,49,24,83,2
4425669,25,7,71,2
4453957,28,24,8,2
4472581,24,7,71,2
4376709,46,26,55,0
4386117,46,26,77,0
4454277,46,26,48,0
4400645,47,22,38,0
4421581,23,6,23,0
4432909,2,24,43,2
4454733,2,24,43,2
4454989,23,27,23,0
4356237,8,24,88,2
4356429,19,8,16,2
4361229,25,6,23,0
4361293,40,6,23,0
4367885,19,8,30,2
4380877,20,8,36,2
4381069,19,8,21,2
4399501,19,10,66,2
4393037,50,6,23,0
4399565,19,8,16,2
4406669,19,8,21,2
4406797,20,8,36,2
4416333,19,8,29,2
4416461,19,8,17,2
4421837,46,24,52,2
4433677,20,8,36,2
4433741,20,8,36,2
4433805,20,8,29,2
4439245,19,8,29,2
4443661,19,8,30,2
4356493,50,22,87,0
4400397,25,22,38,0
4432845,47,22,38,0
4416973,25,27,4,0
4444109,29,6,9,0
4358349,25,24,69,2
4357261,23,24,59,2
4373261,1,26,51,1
4444749,23,24,59,2
4452365,44,22,76,0
4360845,6,12,35,2
4397325,1,24,80,2
4420621,35,24,83,2
4420749,49,24,83,2
4430605,46,24,33,2
4410893,43,26,39,0
4431373,33,26,10,0
4438541,43,26,39,0
4454759,2,24,43,2
4356263,8,24,88,2
4356391,19,8,47,2
4361767,46,24,52,2
4361383,2,24,43,2
4381095,19,8,86,2
4386983,10,10,22,2
4393191,2,24,43,2
4406759,20,8,36,2
4393511,25,24,65,2
4416359,19,8,29,2
4421799,51,24,88,2
4398695,50,27,23,0
4433639,20,8,36,2
4433703,20,8,36,2
4433767,20,8,29,2
4378215,50,22,87,0
4381543,51,22,90,0
4432807,45,22,64,0
4462247,25,22,64,0
4364519,25,24,53,2
4395623,50,26,41,1
4403431,54,24,37,1
4404007,1,26,51,1
4397287,5,24,80,2
4420135,50,5,3,2
4453607,48,15,40,2
4385511,1,26,51,1
4420711,49,24,83,2
4420839,25,24,83,2
4449320,38,26,41,0
4454760,2,24,43,2
4356264,8,24,88,2
4356392,19,8,47,2
4361384,2,24,43,2
4366568,27,27,23,0
4381096,19,8,86,2
4386984,10,10,22,2
4393192,2,24,43,2
4406760,20,8,36,2
4416360,19,8,29,2
4421800,51,24,88,2
4398696,50,27,23,0
4433640,20,8,36,2
4433704,20,8,36,2
4433768,20,8,29,2
4378216,50,22,87,0
4381544,32,22,90,0
4393960,1,29,42,0
4417064,24,22,74,0
4432808,50,22,64,0
4462248,45,22,64,0
4466600,1,26,51,1
4360104,50,24,41,2
4392616,14,4,41,2
4396776,47,24,57,2
4420136,50,5,3,2
4453608,24,15,40,2
4420712,49,24,83,2
4421577,23,6,23,0
4432905,2,24,43,2
4449289,1,26,41,0
4449481,25,24,65,2
4454665,50,29,41,0
4356233,51,24,88,2
4356425,19,8,16,2
4361801,48,9,61,2
4361225,25,6,23,0
4367881,19,8,30,2
4380873,20,8,36,2
4399497,19,10,66,2
4393033,50,6,23,0
4399561,19,8,16,2
4406793,20,8,36,2
4416329,19,8,29,2
4416457,19,8,14,2
4421833,8,24,88,2
4433673,20,8,36,2
4433737,20,8,36,2
4433801,20,8,29,2
4439241,19,8,29,2
4400393,47,22,38,0
4432777,50,22,64,0
4433865,50,22,64,0
4462153,45,22,64,0
4463497,51,22,64,0
4357257,23,24,59,2
4372105,38,4,81,1
4383433,46,26,67,0
4428809,54,24,37,1
4437769,56,24,19,1
4441353,13,24,73,1
4444745,23,24,59,2
4469769,46,26,67,0
4360009,18,5,41,2
4360841,53,12,35,2
4397513,50,13,41,2
4420681,49,24,83,2
4425289,46,24,52,2
4425673,24,7,71,2
4453257,3,24,27,2
4453513,46,24,52,2
4453961,28,24,8,2
4425929,43,26,39,0
4400649,43,22,38,0
4432897,2,24,43,2
4449473,25,24,65,2
4454657,50,29,41,0
4356225,51,24,88,2
4356353,10,10,68,2
4356417,19,8,17,2
4361793,25,9,61,2
4366977,51,6,23,0
4387073,9,28,22,2
4399489,19,8,66,2
4393025,50,6,23,0
4399553,19,8,16,2
4406785,20,8,36,2
4416321,19,8,29,2
4421825,51,24,88,2
4398913,50,26,41,0
4433665,20,8,36,2
4356481,50,22,87,0
4368961,51,22,64,0
4399681,50,27,9,0
4462017,32,22,72,0
4357249,23,24,59,2
4371969,44,22,76,0
4401217,13,24,73,1
4424897,25,22,76,0
4444737,23,24,59,2
4460225,47,22,9,0
4469313,54,6,32,0
4360129,7,24,41,2
4420417,50,23,41,2
4448641,50,24,28,2
4453953,28,24,8,2
4472577,24,7,71,2
4438529,43,26,39,0
4454209,25,26,5,0
4400641,47,22,38,0
4421609,0,6,23,0
4426601,25,24,65,2
4454761,2,24,43,2
4356265,8,24,88,2
4356393,19,8,47,2
4361833,19,8,16,2
4361385,2,24,43,2
4381097,19,8,86,2
4386985,10,10,22,2
4393193,2,24,43,2
4406761,20,8,36,2
4416361,19,8,29,2
4421801,51,24,88,2
4398697,50,27,23,0
4433641,20,8,36,2
4433705,20,8,36,2
4433769,20,8,29,2
4381545,32,22,90,0
4393961,1,29,42,0
4399657,25,27,9,0
4417065,27,22,74,0
4462057,17,22,38,0
4403433,27,24,37,1
4409897,25,17,69,2
4440873,46,22,67,0
4458345,54,24,37,1
4392297,24,4,20,2
4425385,45,26,89,2
4453609,24,15,40,2
4420713,49,24,83,2
4420777,49,24,83,2
4421560,25,6,23,0
4426680,13,14,23,2
4449336,2,24,43,1
4455288,13,14,23,2
4356408,19,8,86,2
4361784,25,9,61,2
4361400,2,24,43,2
4381112,19,8,29,2
4387000,19,8,79,2
4387064,19,8,47,2
4406648,19,8,26,2
4393208,2,24,43,2
4406776,20,8,36,2
4421816,51,24,88,2
4421880,21,10,2,2
4433656,20,19,36,2
4433784,20,8,29,2
4439224,19,8,29,2
4443704,19,8,49,2
4356472,33,22,87,0
4368888,50,22,64,0
4433848,50,22,64,0
4462008,45,22,72,0
4462136,45,22,64,0
4363000,11,13,85,1
4382904,46,26,67,0
4418360,23,24,59,1
4442232,56,24,19,1
4460216,47,22,9,0
4359992,47,5,41,2
4360120,45,24,41,2
4360504,25,13,20,2
4366136,50,24,41,2
4392312,47,4,20,2
4392632,32,4,41,2
4448632,50,24,28,2
4453496,46,24,52,2
4461112,15,24,56,2
4467128,12,11,58,2
4376696,45,26,1,0
4454683,16,29,41,0
4454747,2,24,43,2
4356187,51,24,88,2
4356251,51,24,88,2
4356379,19,8,16,2
4361371,2,24,43,2
4399579,19,8,16,2
4393179,2,24,43,2
4406747,20,8,36,2
4406811,20,8,36,2
4416347,19,8,54,2
4368923,47,22,38,0
4416475,10,10,68,2
4421787,51,24,88,2
4398747,50,27,23,0
4398683,51,27,23,0
4426843,8,8,30,2
4433691,20,8,36,2
4399195,50,26,41,0
4433755,20,8,29,2
4439131,19,8,26,2
4443675,19,8,86,2
4443739,10,10,63,2
4415643,2,7,43,1
4368987,25,22,64,0
4381723,50,27,24,0
4400027,48,22,64,0
4400667,50,22,64,0
4432859,47,22,38,0
4456283,45,22,11,0
4462107,25,22,64,0
4364955,56,26,51,1
4373467,28,4,34,1
4452379,25,22,76,0
4469147,46,22,67,0
4360155,25,24,41,2
4360475,47,13,20,2
4392283,47,4,20,2
4392603,45,4,41,2
4397275,11,24,80,2
4420699,18,24,83,2
4430619,46,24,33,2
4376411,46,26,55,0
4400539,47,22,38,0
4420763,18,24,83,2
4443247,25,24,65,2
4449263,45,26,41,0
4454639,18,29,41,0
4356271,8,24,88,2
4356399,19,0,66,2
4361775,45,9,61,2
4361391,2,24,43,2
4361519,25,24,65,2
4366959,43,6,23,0
4380847,20,8,36,2
4386991,19,8,79,2
4393583,10,10,63,2
4393199,2,24,43,2
4406767,20,8,36,2
4416367,19,8,29,2
4416431,20,8,70,2
4421807,8,24,88,2
4433647,20,8,36,2
4399215,50,26,41,0
4433711,20,8,36,2
4433775,20,8,29,2
4439215,19,8,29,2
4368943,51,22,64,0
4369007,25,22,64,0
4378095,50,22,64,0
4381231,25,22,64,0
4432879,50,22,64,0
4444079,29,6,25,0
4358639,13,24,73,1
4461743,45,22,64,0
4462127,50,22,64,0
4360047,32,5,41,2
4360175,50,24,41,2
4360495,47,13,20,2
4410543,47,24,57,2
4420143,31,5,3,2
4420719,49,24,83,2
4425391,37,26,89,2
4448623,50,24,28,2
4398191,24,26,40,0
4420783,49,24,83,2
4454763,2,24,43,2
4356267,8,24,88,2
4356395,19,8,47,2
4361835,19,8,16,2
4361195,43,6,23,0
4361387,2,24,43,2
4361707,25,24,65,2
4381099,19,8,29,2
4393195,2,24,43,2
4406763,20,8,36,2
4393515,25,24,65,2
4416363,19,8,29,2
4416427,20,8,70,2
4421803,51,24,88,2
4433643,20,8,36,2
4433707,20,8,36,2
4399211,14,26,41,0
4433771,20,8,29,2
4356459,33,22,87,0
4393963,1,29,42,0
4399659,25,27,9,0
4400683,50,22,64,0
4400747,43,22,64,0
4417067,39,22,74,0
4373163,56,24,19,1
4394603,46,22,33,0
4395819,47,17,69,2
4457835,25,1,69,2
4458347,54,24,37,1
4397291,25,24,80,2
4453611,24,15,40,2
4373227,1,26,51,1
4420779,49,24,83,2
4421570,23,6,23,0
4432898,2,24,43,2
4356226,51,24,88,2
4356354,10,10,68,2
4356418,19,8,17,2
4361794,50,9,61,2
4355650,2,24,43,1
4387010,20,8,18,2
4387074,9,28,22,2
4399490,19,8,66,2
4393026,50,6,23,0
4399554,19,8,16,2
4406786,20,8,36,2
4416322,19,8,29,2
4393474,25,24,65,2
4421826,51,24,88,2
4433666,20,8,36,2
4433794,20,8,29,2
4356482,31,22,87,0
4369026,45,22,64,0
4433858,50,22,64,0
4461762,45,22,64,0
4357250,23,24,59,2
4371970,44,22,76,0
4372098,28,4,81,1
4401218,13,24,73,1
4444738,23,24,59,2
4469314,54,6,32,0
4392450,47,15,20,2
4425282,46,24,52,2
4472578,47,7,71,2
4454210,25,26,5,0
4400642,37,22,38,0
4421478,25,24,65,2
4421606,51,6,23,0
4449254,49,26,41,0
4454758,2,24,43,2
4356262,8,24,88,2
4356390,19,8,47,2
4361382,2,24,43,2
4366886,25,24,65,2
4377510,25,24,65,2
4381094,19,8,86,2
4386982,10,10,22,2
4393190,2,24,43,2
4406758,20,8,36,2
4411494,19,8,54,2
4416358,19,8,29,2
4421798,51,24,88,2
4398694,50,27,23,0
4426854,8,8,30,2
4433638,20,8,36,2
4433702,20,8,36,2
4433766,20,8,29,2
4356518,46,27,31,0
4381542,51,22,90,0
4400614,25,22,64,0
4400742,39,22,64,0
4432806,50,22,64,0
4432870,45,22,64,0
4462246,51,22,64,0
4403430,54,24,37,1
4440870,46,22,67,0
4471206,46,22,33,0
4365222,22,24,20,2
4392550,43,15,39,2
4392614,42,4,41,2
4453606,39,15,40,2
4442854,25,26,5,0
4421474,25,24,65,2
4426594,25,24,65,2
4449698,25,24,65,2
4454626,32,29,41,0
4356258,51,24,88,2
4356386,19,8,30,2
4361826,25,9,61,2
4361186,50,6,23,0
4361378,2,24,43,2
4361634,39,24,75,1
4366562,12,27,23,0
4380962,20,8,70,2
4392994,51,6,23,0
4393186,2,24,43,2
4406754,20,8,36,2
4416354,19,8,29,2
4416418,19,8,16,2
4416482,8,8,15,2
4421794,51,24,88,2
4398690,50,27,23,0
4433634,20,8,36,2
4433698,20,8,36,2
4433762,20,8,29,2
4443682,10,10,68,2
4416290,25,24,65,2
4393762,25,27,5,0
4400674,50,22,64,0
4427106,26,22,45,0
4463906,46,27,31,0
4395746,17,17,69,2
4395810,17,17,69,2
4360034,45,5,41,2
4392290,47,4,20,2
4392546,43,15,39,2
4400546,25,22,38,0
4454629,45,29,41,0
4454757,2,24,43,2
4356261,8,24,88,2
4356389,19,8,47,2
4361381,2,24,43,2
4366565,12,27,23,0
4380965,20,8,70,2
4381093,19,8,86,2
4392997,51,6,23,0
4393189,2,24,43,2
4406757,20,8,36,2
4411557,15,8,44,2
4416357,19,8,29,2
4416421,19,8,16,2
4416485,8,8,15,2
4421797,51,24,88,2
4398693,50,27,23,0
4426853,8,8,30,2
4433637,20,8,36,2
4399205,43,26,41,0
4433701,20,8,36,2
4433765,20,8,29,2
4443685,10,10,68,2
4381541,51,22,90,0
4400613,43,22,64,0
4462245,51,22,64,0
4372261,27,24,37,1
4403429,54,24,37,1
4436325,46,26,67,0
4360037,47,5,41,2
4453605,27,15,40,2
4400549,4,22,38,0
4420709,49,24,83,2
4420773,49,24,83,2
4420837,25,24,83,2
4432916,2,24,43,2
4449620,25,24,65,2
4454740,2,24,43,2
4454996,23,27,23,0
4356244,8,24,88,2
4356436,19,8,16,2
4361876,10,10,63,2
4361748,25,24,65,2
4381140,10,10,68,2
4399508,19,8,66,2
4399572,19,8,16,2
4406740,20,8,36,2
4406804,20,8,36,2
4416404,19,8,16,2
4416468,19,8,84,2
4426836,10,10,63,2
4433684,20,8,36,2
4433748,20,8,29,2
4433812,20,8,29,2
4443668,10,10,82,2
4368916,47,22,38,0
4443732,19,8,79,2
4421204,2,24,43,1
4356500,17,22,87,0
4400020,51,22,64,0
4400596,39,22,64,0
4400724,25,22,64,0
4416980,50,27,4,0
4358100,46,26,67,0
4462164,45,22,64,0
4468692,43,22,64,0
4373460,28,4,34,1
4360084,49,24,41,2
4360852,6,12,35,2
4392468,47,15,20,2
4397268,35,24,80,2
4397524,33,13,41,2
4420628,49,24,83,2
4448788,55,3,57,2
4460948,50,13,85,2
4432917,2,24,43,2
4449621,25,24,65,2
4454741,2,24,43,2
4454997,23,27,23,0
4356245,51,24,88,2
4356437,19,8,16,2
4361877,10,10,63,2
4381141,10,10,68,2
4399509,19,8,66,2
4399573,19,8,16,2
4406741,20,8,36,2
4406805,20,8,36,2
4416405,19,8,16,2
4416469,19,8,84,2
4426837,10,10,63,2
4433685,20,8,36,2
4433749,20,8,29,2
4433813,20,8,18,2
4443669,19,8,79,2
