PanjivaRecordID,HSCode,ShipmentDestination,ShipperPanjivaID,TransportMethod
4370218,14,3,33,2
4373994,14,3,67,2
4403434,34,24,37,0
4409578,23,3,76,2
4437802,1,3,51,0
4457834,23,21,69,1
4458346,0,24,37,0
4392298,54,16,20,1
4404586,14,1,46,1
4420138,30,23,3,1
4425386,7,9,89,1
4453610,11,1,40,1
4453930,21,24,8,1
4420778,55,24,83,1
4421573,39,22,23,2
4432901,18,24,43,1
4454661,23,12,41,2
4356229,41,24,88,1
4356357,13,0,68,1
4356421,40,4,16,1
4361797,30,7,61,1
4381125,40,4,29,1
4399493,40,0,66,1
4393029,30,22,23,2
4399557,40,4,16,1
4406789,9,4,36,1
4416325,40,4,29,1
4421829,42,24,88,1
4398917,7,9,41,2
4433669,9,4,36,1
4433797,9,4,29,1
4367941,39,3,32,2
4369029,45,3,64,2
4434117,30,3,64,2
4462149,41,3,64,2
4462277,45,3,64,2
4357253,39,24,59,1
4372101,21,16,81,0
4374149,14,9,67,2
4424901,26,3,76,2
4444741,39,24,59,1
4360837,16,8,35,1
4420741,55,24,83,1
4425669,23,26,71,1
4453957,21,24,8,1
4472581,11,26,71,1
4376709,14,9,55,2
4386117,14,9,77,2
4454277,14,9,48,2
4400645,20,3,38,2
4421581,39,22,23,2
4432909,18,24,43,1
4454733,18,24,43,1
4454989,39,25,23,2
4356237,42,24,88,1
4356429,40,4,16,1
4361229,23,22,23,2
4361293,10,22,23,2
4367885,40,4,30,1
4380877,9,4,36,1
4381069,40,4,21,1
4399501,40,0,66,1
4393037,30,22,23,2
4399565,40,4,16,1
4406669,40,4,21,1
4406797,9,4,36,1
4416333,40,4,29,1
4416461,40,4,17,1
4421837,14,24,52,1
4433677,9,4,36,1
4433741,9,4,36,1
4433805,9,4,29,1
4439245,40,4,29,1
4443661,40,4,30,1
4356493,30,3,87,2
4400397,23,3,38,2
4432845,20,3,38,2
4416973,23,25,4,2
4444109,22,22,9,2
4358349,23,24,69,1
4357261,39,24,59,1
4373261,8,9,51,0
4444749,39,24,59,1
4452365,50,3,76,2
4360845,29,8,35,1
4397325,8,24,80,1
4420621,52,24,83,1
4420749,55,24,83,1
4430605,14,24,33,1
4410893,48,9,39,2
4431373,3,9,10,2
4438541,48,9,39,2
4454759,18,24,43,1
4356263,42,24,88,1
4356391,40,4,47,1
4361767,14,24,52,1
4361383,18,24,43,1
4381095,40,4,86,1
4386983,13,0,22,1
4393191,18,24,43,1
4406759,9,4,36,1
4393511,23,24,65,1
4416359,40,4,29,1
4421799,41,24,88,1
4398695,30,25,23,2
4433639,9,4,36,1
4433703,9,4,36,1
4433767,9,4,29,1
4378215,30,3,87,2
4381543,41,3,90,2
4432807,45,3,64,2
4462247,23,3,64,2
4364519,23,24,53,1
4395623,30,9,41,0
4403431,0,24,37,0
4404007,8,9,51,0
4397287,4,24,80,1
4420135,30,23,3,1
4453607,53,1,40,1
4385511,8,9,51,0
4420711,55,24,83,1
4420839,23,24,83,1
4449320,15,9,41,2
4454760,18,24,43,1
4356264,42,24,88,1
4356392,40,4,47,1
4361384,18,24,43,1
4366568,34,25,23,2
4381096,40,4,86,1
4386984,13,0,22,1
4393192,18,24,43,1
4406760,9,4,36,1
4416360,40,4,29,1
4421800,41,24,88,1
4398696,30,25,23,2
4433640,9,4,36,1
4433704,9,4,36,1
4433768,9,4,29,1
4378216,30,3,87,2
4381544,7,3,90,2
4393960,8,12,42,2
4417064,11,3,74,2
4432808,30,3,64,2
4462248,45,3,64,2
4466600,8,9,51,0
4360104,30,24,41,1
4392616,26,16,41,1
4396776,20,24,57,1
4420136,30,23,3,1
4453608,11,1,40,1
4420712,55,24,83,1
4421577,39,22,23,2
4432905,18,24,43,1
4449289,8,9,41,2
4449481,23,24,65,1
4454665,30,12,41,2
4356233,41,24,88,1
4356425,40,4,16,1
4361801,53,7,61,1
4361225,23,22,23,2
4367881,40,4,30,1
4380873,9,4,36,1
4399497,40,0,66,1
4393033,30,22,23,2
4399561,40,4,16,1
4406793,9,4,36,1
4416329,40,4,29,1
4416457,40,4,14,1
4421833,42,24,88,1
4433673,9,4,36,1
4433737,9,4,36,1
4433801,9,4,29,1
4439241,40,4,29,1
4400393,20,3,38,2
4432777,30,3,64,2
4433865,30,3,64,2
4462153,45,3,64,2
4463497,41,3,64,2
4357257,39,24,59,1
4372105,15,16,81,0
4383433,14,9,67,2
4428809,0,24,37,0
4437769,49,24,19,0
4441353,36,24,73,0
4444745,39,24,59,1
4469769,14,9,67,2
4360009,35,23,41,1
4360841,16,8,35,1
4397513,30,17,41,1
4420681,55,24,83,1
4425289,14,24,52,1
4425673,11,26,71,1
4453257,12,24,27,1
4453513,14,24,52,1
4453961,21,24,8,1
4425929,48,9,39,2
4400649,48,3,38,2
4432897,18,24,43,1
4449473,23,24,65,1
4454657,30,12,41,2
4356225,41,24,88,1
4356353,13,0,68,1
4356417,40,4,17,1
4361793,23,7,61,1
4366977,41,22,23,2
4387073,24,2,22,1
4399489,40,4,66,1
4393025,30,22,23,2
4399553,40,4,16,1
4406785,9,4,36,1
4416321,40,4,29,1
4421825,41,24,88,1
4398913,30,9,41,2
4433665,9,4,36,1
4356481,30,3,87,2
4368961,41,3,64,2
4399681,30,25,9,2
4462017,7,3,72,2
4357249,39,24,59,1
4371969,50,3,76,2
4401217,36,24,73,0
4424897,23,3,76,2
4444737,39,24,59,1
4460225,20,3,9,2
4469313,0,22,32,2
4360129,43,24,41,1
4420417,30,14,41,1
4448641,30,24,28,1
4453953,21,24,8,1
4472577,11,26,71,1
4438529,48,9,39,2
4454209,23,9,5,2
4400641,20,3,38,2
4421609,17,22,23,2
4426601,23,24,65,1
4454761,18,24,43,1
4356265,42,24,88,1
4356393,40,4,47,1
4361833,40,4,16,1
4361385,18,24,43,1
4381097,40,4,86,1
4386985,13,0,22,1
4393193,18,24,43,1
4406761,9,4,36,1
4416361,40,4,29,1
4421801,41,24,88,1
4398697,30,25,23,2
4433641,9,4,36,1
4433705,9,4,36,1
4433769,9,4,29,1
4381545,7,3,90,2
4393961,8,12,42,2
4399657,23,25,9,2
4417065,34,3,74,2
4462057,1,3,38,2
4403433,34,24,37,0
4409897,23,27,69,1
4440873,14,3,67,2
4458345,0,24,37,0
4392297,11,16,20,1
4425385,45,9,89,1
4453609,11,1,40,1
4420713,55,24,83,1
4420777,55,24,83,1
4421560,23,22,23,2
4426680,36,19,23,1
4449336,18,24,43,0
4455288,36,19,23,1
4356408,40,4,86,1
4361784,23,7,61,1
4361400,18,24,43,1
4381112,40,4,29,1
4387000,40,4,79,1
4387064,40,4,47,1
4406648,40,4,26,1
4393208,18,24,43,1
4406776,9,4,36,1
4421816,41,24,88,1
4421880,56,0,2,1
4433656,9,29,36,1
4433784,9,4,29,1
4439224,40,4,29,1
4443704,40,4,49,1
4356472,3,3,87,2
4368888,30,3,64,2
4433848,30,3,64,2
4462008,45,3,72,2
4462136,45,3,64,2
4363000,37,17,85,0
4382904,14,9,67,2
4418360,39,24,59,0
4442232,49,24,19,0
4460216,20,3,9,2
4359992,20,23,41,1
4360120,45,24,41,1
4360504,23,17,20,1
4366136,30,24,41,1
4392312,20,16,20,1
4392632,7,16,41,1
4448632,30,24,28,1
4453496,14,24,52,1
4461112,28,24,56,1
4467128,19,18,58,1
4376696,45,9,1,2
4454683,32,12,41,2
4454747,18,24,43,1
4356187,41,24,88,1
4356251,41,24,88,1
4356379,40,4,16,1
4361371,18,24,43,1
4399579,40,4,16,1
4393179,18,24,43,1
4406747,9,4,36,1
4406811,9,4,36,1
4416347,40,4,54,1
4368923,20,3,38,2
4416475,13,0,68,1
4421787,41,24,88,1
4398747,30,25,23,2
4398683,41,25,23,2
4426843,42,4,30,1
4433691,9,4,36,1
4399195,30,9,41,2
4433755,9,4,29,1
4439131,40,4,26,1
4443675,40,4,86,1
4443739,13,0,63,1
4415643,18,26,43,0
4368987,23,3,64,2
4381723,30,25,24,2
4400027,53,3,64,2
4400667,30,3,64,2
4432859,20,3,38,2
4456283,45,3,11,2
4462107,23,3,64,2
4364955,49,9,51,0
4373467,21,16,34,0
4452379,23,3,76,2
4469147,14,3,67,2
4360155,23,24,41,1
4360475,20,17,20,1
4392283,20,16,20,1
4392603,45,16,41,1
4397275,37,24,80,1
4420699,35,24,83,1
4430619,14,24,33,1
4376411,14,9,55,2
4400539,20,3,38,2
4420763,35,24,83,1
4443247,23,24,65,1
4449263,45,9,41,2
4454639,35,12,41,2
4356271,42,24,88,1
4356399,40,10,66,1
4361775,45,7,61,1
4361391,18,24,43,1
4361519,23,24,65,1
4366959,48,22,23,2
4380847,9,4,36,1
4386991,40,4,79,1
4393583,13,0,63,1
4393199,18,24,43,1
4406767,9,4,36,1
4416367,40,4,29,1
4416431,9,4,70,1
4421807,42,24,88,1
4433647,9,4,36,1
4399215,30,9,41,2
4433711,9,4,36,1
4433775,9,4,29,1
4439215,40,4,29,1
4368943,41,3,64,2
4369007,23,3,64,2
4378095,30,3,64,2
4381231,23,3,64,2
4432879,30,3,64,2
4444079,22,22,25,2
4358639,36,24,73,0
4461743,45,3,64,2
4462127,30,3,64,2
4360047,7,23,41,1
4360175,30,24,41,1
4360495,20,17,20,1
4410543,20,24,57,1
4420143,47,23,3,1
4420719,55,24,83,1
4425391,25,9,89,1
4448623,30,24,28,1
4398191,11,9,40,2
4420783,55,24,83,1
4454763,18,24,43,1
4356267,42,24,88,1
4356395,40,4,47,1
4361835,40,4,16,1
4361195,48,22,23,2
4361387,18,24,43,1
4361707,23,24,65,1
4381099,40,4,29,1
4393195,18,24,43,1
4406763,9,4,36,1
4393515,23,24,65,1
4416363,40,4,29,1
4416427,9,4,70,1
4421803,41,24,88,1
4433643,9,4,36,1
4433707,9,4,36,1
4399211,26,9,41,2
4433771,9,4,29,1
4356459,3,3,87,2
4393963,8,12,42,2
4399659,23,25,9,2
4400683,30,3,64,2
4400747,48,3,64,2
4417067,44,3,74,2
4373163,49,24,19,0
4394603,14,3,33,2
4395819,20,27,69,1
4457835,23,21,69,1
4458347,0,24,37,0
4397291,23,24,80,1
4453611,11,1,40,1
4373227,8,9,51,0
4420779,55,24,83,1
4421570,39,22,23,2
4432898,18,24,43,1
